Date;Closing price
2003-01-22;500.38
2003-01-23;497.97
2003-01-24;494.18
2003-01-27;475.65
2003-01-28;469.16
2003-01-29;466.82
2003-01-30;479.68
2003-01-31;477.8
2003-02-03;481.8
2003-02-04;464
2003-02-05;476.34
2003-02-06;474.25
2003-02-07;466.97
2003-02-10;456.53
2003-02-11;469.07
2003-02-12;473.17
2003-02-13;474.3
2003-02-14;479.38
2003-02-17;493.91
2003-02-18;499.17
2003-02-19;491.29
2003-02-20;479.98
2003-02-21;478.19
2003-02-24;474.47
2003-02-25;461.46
2003-02-26;459.1
2003-02-27;464
2003-02-28;469.97
2003-03-03;471.43
2003-03-04;463.13
2003-03-05;459.64
2003-03-06;457.71
2003-03-07;452.03
2003-03-10;446
2003-03-11;440.82
2003-03-12;432.36
2003-03-13;450.74
2003-03-14;465.77
2003-03-17;484
2003-03-18;485.22
2003-03-19;490.4
2003-03-20;494.14
2003-03-21;503.4
2003-03-24;489.38
2003-03-25;489.3
2003-03-26;486.82
2003-03-27;478.9
2003-03-28;475.39
2003-03-31;457.78
2003-04-01;461.69
2003-04-02;480.45
2003-04-03;480.86
2003-04-04;482.89
2003-04-07;503
2003-04-08;493.71
2003-04-09;492.43
2003-04-10;483.12
2003-04-11;483.48
2003-04-14;483.87
2003-04-15;495.6
2003-04-16;493.93
2003-04-17;495.59
2003-04-22;497.98
2003-04-23;503.67
2003-04-24;503.47
2003-04-25;497.92
2003-04-28;513.59
2003-04-29;521.49
2003-04-30;521.92
2003-05-02;519.29
2003-05-05;524.3
2003-05-06;525.78
2003-05-07;515.33
2003-05-08;506.19
2003-05-09;513.44
2003-05-12;515.81
2003-05-13;524
2003-05-14;519.78
2003-05-15;520.01
2003-05-16;518.45
2003-05-19;504.75
2003-05-20;499.48
2003-05-21;492.31
2003-05-22;497.34
2003-05-23;498.95
2003-05-26;495.55
2003-05-27;502.35
2003-05-28;512.94
2003-05-30;514.46
2003-06-02;518.52
2003-06-03;511.85
2003-06-04;516.96
2003-06-05;517.03
2003-06-06;528.88
2003-06-10;527.05
2003-06-11;533.76
2003-06-12;539.04
2003-06-13;529.43
2003-06-16;534.85
2003-06-17;541.58
2003-06-18;545.21
2003-06-19;539.15
2003-06-23;531.68
2003-06-24;525.09
2003-06-25;527.96
2003-06-26;528.68
2003-06-27;536.54
2003-06-30;531.46
2003-07-01;522.32
2003-07-02;529.86
2003-07-03;537.95
2003-07-04;539.05
2003-07-07;551.94
2003-07-08;550.17
2003-07-09;546.28
2003-07-10;540.83
2003-07-11;544.16
2003-07-14;553.67
2003-07-15;554.53
2003-07-16;549.91
